--------------------2019-08-07 0:02:35----------------
4004 : 3
4017 : 2
1018 : 2
81 : 5
1006 : 22
3013 : 505
205 : 11
82 : 1
3202 : 1
1050 : 17
1010 : 28
1011 : 74
3017 : 401
3011 : 76
4633 : 3
4418 : 3
3010 : 5
1032 : 2
1003 : 108
3030 : 20
1000 : 2
1100 : 1
1104 : 5
1004 : 1
1051 : 1
1115 : 2
1105 : 13
1031 : 2
1109 : 4
1108 : 24
1060 : 1
4634 : 2
3018 : 1
3019 : 5
3024 : 1
3025 : 1
3014 : 87
1001 : 5
--------------------2019-08-07 0:07:35----------------
4017 : 2
1018 : 2
81 : 4
1006 : 26
3013 : 572
205 : 14
1050 : 2
1010 : 38
1011 : 65
3017 : 615
3011 : 87
4633 : 3
3010 : 3
1032 : 11
1003 : 136
1009 : 1
3030 : 132
1000 : 3
1004 : 5
4464 : 1
1115 : 1
1105 : 17
1101 : 1
1031 : 3
1014 : 17
1015 : 1
1108 : 66
1060 : 2
4634 : 4
3014 : 174
1001 : 18
--------------------2019-08-07 0:12:35----------------
81 : 7
1006 : 37
3013 : 707
205 : 17
82 : 1
3202 : 1
1010 : 57
1011 : 96
3017 : 379
3011 : 113
4633 : 6
4418 : 2
3010 : 19
1032 : 2
1003 : 14
3030 : 36
1000 : 6
1104 : 21
1004 : 2
1051 : 11
4629 : 2
4464 : 1
1115 : 2
1105 : 5
1101 : 6
1031 : 15
1108 : 60
4031 : 3
4041 : 3
4426 : 1
3018 : 16
3019 : 9
3024 : 32
3025 : 13
3014 : 243
1001 : 44
--------------------2019-08-07 0:17:35----------------
4017 : 3
1018 : 3
81 : 9
1006 : 15
3013 : 455
205 : 8
1050 : 5
1010 : 63
1011 : 108
3017 : 240
3011 : 95
4633 : 4
3010 : 29
1003 : 4
1009 : 2
3030 : 11
1000 : 4
1100 : 20
1104 : 9
1004 : 1
4629 : 1
4464 : 3
1115 : 5
1105 : 7
1014 : 11
1015 : 1
1108 : 28
545 : 1
1060 : 1
4416 : 2
4634 : 1
3018 : 23
3019 : 34
3024 : 33
3025 : 15
4539 : 1
4631 : 1
4525 : 1
4414 : 2
1020 : 11
1001 : 152
--------------------2019-08-07 0:22:35----------------
4004 : 1
4017 : 3
1018 : 3
81 : 10
1006 : 23
3013 : 685
205 : 13
1050 : 1
1010 : 54
1011 : 85
3017 : 337
3011 : 198
4633 : 3
3010 : 24
1003 : 9
1009 : 3
3030 : 7
1000 : 9
1100 : 24
1004 : 1
1115 : 4
1105 : 20
1101 : 1
1014 : 15
1015 : 3
1108 : 46
545 : 1
1060 : 1
4416 : 12
1019 : 1
3018 : 19
3019 : 11
3024 : 32
3025 : 13
4415 : 1
4539 : 1
4631 : 1
4525 : 1
4414 : 4
1020 : 7
4412 : 1
3014 : 27
1001 : 136
--------------------2019-08-07 0:27:35----------------
81 : 4
1006 : 17
3013 : 687
205 : 17
1050 : 3
1010 : 61
1011 : 97
3017 : 415
3011 : 191
4633 : 5
3010 : 21
1003 : 7
3030 : 43
1000 : 6
1100 : 3
1004 : 2
1051 : 1
1115 : 1
1105 : 15
1108 : 62
1025 : 3
4634 : 4
3018 : 18
3019 : 18
3024 : 37
3025 : 12
4430 : 1
1026 : 7
1030 : 2
3014 : 221
1001 : 308
--------------------2019-08-07 0:32:35----------------
4017 : 2
1018 : 2
81 : 7
1006 : 21
3013 : 685
205 : 13
1050 : 3
1010 : 77
1011 : 111
3017 : 288
3011 : 111
4633 : 4
3010 : 31
1003 : 2
1009 : 2
3030 : 7
1000 : 3
1100 : 2
1104 : 30
1004 : 1
1051 : 1
4464 : 1
1115 : 2
1105 : 13
1108 : 64
4634 : 3
3018 : 20
3019 : 13
3024 : 41
3025 : 12
3014 : 282
1001 : 109
--------------------2019-08-07 0:37:35----------------
81 : 4
1006 : 10
3013 : 567
205 : 11
82 : 1
3202 : 1
1010 : 76
1011 : 117
3017 : 275
3011 : 110
4633 : 4
3010 : 15
1003 : 2
3030 : 14
1000 : 5
1046 : 6
1100 : 1
1104 : 10
1004 : 2
4464 : 2
1115 : 4
1105 : 11
1108 : 31
4416 : 3
3018 : 22
3019 : 18
3024 : 40
3025 : 13
3014 : 13
1001 : 112
--------------------2019-08-07 0:42:35----------------
81 : 3
1006 : 21
3013 : 407
205 : 7
1010 : 47
1011 : 64
3017 : 165
3011 : 77
