--------------------2019-07-24 0:02:29----------------
3013 : 85
205 : 1
1006 : 6
1010 : 42
3011 : 5
1003 : 1
1009 : 1
1000 : 9
1046 : 8
1011 : 29
4633 : 2
4629 : 3
1014 : 1
1015 : 2
--------------------2019-07-24 0:07:29----------------
--------------------2019-07-24 0:12:29----------------
--------------------2019-07-24 0:17:29----------------
--------------------2019-07-24 0:22:29----------------
--------------------2019-07-24 0:27:29----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 14
1010 : 3
3010 : 1
3011 : 2
--------------------2019-07-24 0:32:29----------------
4004 : 1
4017 : 2
1018 : 2
81 : 4
3013 : 104
205 : 1
3014 : 64
1006 : 46
1010 : 25
3011 : 16
1003 : 2
1009 : 1
3030 : 7
1000 : 6
1001 : 7
1046 : 16
1048 : 8
1011 : 31
1050 : 1
4633 : 3
82 : 1
3202 : 1
4629 : 2
--------------------2019-07-24 0:37:29----------------
3013 : 115
205 : 3
3014 : 2
1006 : 13
1010 : 12
3011 : 11
1003 : 5
3030 : 9
1001 : 12
3017 : 115
1046 : 1
1048 : 15
1011 : 19
1050 : 1
1004 : 2
1108 : 1
4634 : 7
--------------------2019-07-24 0:42:29----------------
81 : 1
3013 : 126
205 : 2
1006 : 16
1010 : 35
3010 : 7
3011 : 19
1003 : 4
3030 : 7
1000 : 2
1001 : 10
3017 : 57
1046 : 1
1048 : 10
1011 : 35
1050 : 8
4633 : 1
1100 : 12
1102 : 9
1004 : 1
1051 : 2
1014 : 4
1015 : 1
4634 : 1
--------------------2019-07-24 0:47:29----------------
3013 : 158
205 : 2
1006 : 2
1010 : 14
3010 : 25
3011 : 45
3030 : 5
1000 : 1
1001 : 28
3017 : 13
1011 : 13
4633 : 3
4629 : 1
--------------------2019-07-24 0:52:29----------------
3013 : 146
205 : 2
1006 : 1
3010 : 10
3011 : 39
1003 : 2
1001 : 5
3017 : 31
1046 : 1
1048 : 1
1100 : 2
1104 : 1
1102 : 2
4629 : 3
--------------------2019-07-24 0:57:30----------------
3013 : 166
205 : 2
1006 : 1
3010 : 6
3011 : 29
1003 : 3
1001 : 12
3017 : 19
1100 : 6
1102 : 1
4629 : 4
1101 : 1
--------------------2019-07-24 1:02:30----------------
3013 : 90
205 : 2
3011 : 13
1001 : 2
3017 : 33
4464 : 1
--------------------2019-07-24 1:07:30----------------
3013 : 96
205 : 2
3011 : 22
1001 : 34
3017 : 94
4629 : 2
--------------------2019-07-24 1:12:30----------------
3013 : 61
205 : 2
1010 : 5
3010 : 4
3011 : 4
1001 : 3
3017 : 100
1011 : 4
4633 : 1
4629 : 1
--------------------2019-07-24 1:17:30----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 53
205 : 1
3011 : 13
1001 : 5
3017 : 84
--------------------2019-07-24 1:22:30----------------
3013 : 94
205 : 2
1006 : 1
1010 : 1
3011 : 15
1003 : 1
1000 : 1
1001 : 2
3017 : 88
1011 : 2
1050 : 1
4633 : 1
1100 : 2
1102 : 3
--------------------2019-07-24 1:27:30----------------
3013 : 68
205 : 2
3011 : 8
1001 : 1
3017 : 98
--------------------2019-07-24 1:32:30----------------
3013 : 57
205 : 1
3011 : 4
1001 : 3
3017 : 93
--------------------2019-07-24 1:37:30----------------
--------------------2019-07-24 1:42:30----------------
3013 : 38
205 : 1
3011 : 3
1001 : 2
3017 : 69
1102 : 2
--------------------2019-07-24 1:47:30----------------
3013 : 33
205 : 1
3011 : 4
1001 : 4
3017 : 60
--------------------2019-07-24 1:52:31----------------
3013 : 113
205 : 2
3011 : 17
3017 : 51
--------------------2019-07-24 1:57:31----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 37
205 : 1
1006 : 4
1010 : 6
3010 : 3
3011 : 1
1001 : 2
3017 : 19
1011 : 3
4633 : 1
4041 : 1
--------------------2019-07-24 2:02:31----------------
3013 : 73
205 : 1
3010 : 6
3011 : 13
1001 : 4
1050 : 1
4629 : 2
--------------------2019-07-24 2:07:31----------------
3017 : 1
--------------------2019-07-24 2:12:31----------------
3013 : 19
3010 : 1
3011 : 1
1001 : 1
--------------------2019-07-24 2:17:31----------------
3013 : 22
3010 : 5
3011 : 10
1001 : 4
3017 : 1
--------------------2019-07-24 2:22:31----------------
3013 : 6
3010 : 1
1001 : 5
--------------------2019-07-24 2:27:31----------------
3013 : 57
205 : 1
1010 : 27
3010 : 6
3011 : 16
1003 : 6
1009 : 4
3030 : 2
1000 : 7
1001 : 20
3017 : 4
1011 : 14
4633 : 2
4629 : 1
4464 : 1
--------------------2019-07-24 2:32:31----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3013 : 98
205 : 1
1010 : 15
3011 : 1
3030 : 1
1046 : 6
1011 : 10
--------------------2019-07-24 2:37:31----------------
3013 : 123
205 : 2
3011 : 18
3030 : 1
1001 : 20
3017 : 80
1050 : 1
--------------------2019-07-24 2:42:31----------------
3013 : 102
205 : 2
1006 : 2
1010 : 1
3011 : 2
1001 : 4
3017 : 87
1011 : 1
4633 : 1
--------------------2019-07-24 2:47:31----------------
4017 : 1
1018 : 1
81 : 1
3013 : 45
205 : 1
1010 : 10
1009 : 1
1000 : 8
1011 : 19
--------------------2019-07-24 2:52:31----------------
--------------------2019-07-24 2:57:31----------------
--------------------2019-07-24 3:02:31----------------
