--------------------2019-09-04 0:02:49----------------
4004 : 8
4017 : 8
1018 : 8
81 : 14
205 : 22
1010 : 31
4633 : 11
4629 : 36
1006 : 41
1003 : 46
3010 : 4
1115 : 1
3030 : 4
1031 : 16
4464 : 2
1032 : 1
3025 : 13
3019 : 156
3024 : 27
3018 : 58
3002 : 6
3013 : 1239
3011 : 92
1011 : 58
3014 : 306
1001 : 26
3017 : 400
--------------------2019-09-04 0:07:49----------------
4430 : 1
81 : 10
205 : 26
1010 : 67
4633 : 12
4629 : 9
1006 : 58
1003 : 72
3010 : 6
1000 : 6
1115 : 2
3030 : 24
1031 : 11
1014 : 8
4464 : 2
1060 : 1
1032 : 2
82 : 3
3202 : 3
3025 : 20
3019 : 181
3024 : 7
3018 : 40
1004 : 1
3002 : 2
3013 : 1109
3011 : 60
1011 : 144
3014 : 499
1001 : 12
3017 : 694
4418 : 6
4414 : 1
--------------------2019-09-04 0:12:49----------------
4004 : 1
4017 : 2
1018 : 2
81 : 10
205 : 27
1010 : 20
4633 : 6
4629 : 2
1006 : 62
1003 : 98
3010 : 1
1115 : 1
3030 : 10
1009 : 5
4464 : 2
1060 : 6
3025 : 25
3019 : 269
3024 : 9
3018 : 70
4031 : 1
3013 : 898
3011 : 118
1011 : 52
3014 : 603
1001 : 36
3017 : 680
--------------------2019-09-04 0:17:49----------------
4004 : 5
4017 : 5
1018 : 5
81 : 9
205 : 29
1010 : 16
4633 : 4
4629 : 10
1006 : 91
1003 : 142
3010 : 6
1000 : 1
1115 : 1
3030 : 6
1031 : 3
1009 : 1
4464 : 1
82 : 2
3202 : 1
3025 : 31
3019 : 247
3024 : 51
3018 : 105
1004 : 1
4012 : 1
3013 : 1283
3011 : 100
1011 : 24
3014 : 419
1001 : 27
3017 : 744
4539 : 1
4631 : 1
4525 : 1
--------------------2019-09-04 0:22:49----------------
81 : 10
205 : 35
1010 : 15
4633 : 2
4629 : 9
1006 : 56
1003 : 203
3010 : 16
1000 : 1
1115 : 5
3030 : 12
1046 : 8
4464 : 1
1060 : 1
3025 : 45
3019 : 226
3024 : 56
3018 : 103
3002 : 5
3013 : 1155
3011 : 111
1011 : 24
3014 : 960
1001 : 31
3017 : 894
--------------------2019-09-04 0:27:49----------------
4004 : 1
4017 : 1
1018 : 1
81 : 5
205 : 30
1010 : 21
4633 : 4
4629 : 1
1006 : 64
1003 : 253
3010 : 10
1000 : 1
1115 : 2
82 : 1
3202 : 1
3025 : 24
3019 : 111
3024 : 77
3018 : 57
3002 : 5
3013 : 1037
3011 : 183
1011 : 27
3014 : 866
1001 : 34
3017 : 930
--------------------2019-09-04 0:32:49----------------
4004 : 1
4017 : 1
1018 : 1
81 : 10
205 : 32
1010 : 15
4633 : 3
4629 : 20
1006 : 33
1003 : 242
3010 : 9
1000 : 3
3030 : 1
1031 : 2
4464 : 8
1032 : 2
3025 : 7
3019 : 31
3024 : 21
3018 : 18
3013 : 1140
3011 : 105
1011 : 46
3014 : 906
1001 : 19
3017 : 883
--------------------2019-09-04 0:37:49----------------
4430 : 1
4422 : 5
1030 : 4
81 : 6
205 : 33
1010 : 14
4633 : 4
4629 : 5
1006 : 46
1003 : 160
3010 : 26
1115 : 1
3030 : 15
1007 : 23
4464 : 1
1060 : 1
82 : 2
3202 : 2
3025 : 22
3019 : 238
3024 : 55
3018 : 104
4416 : 1
3013 : 1029
3011 : 176
1011 : 42
3014 : 721
1001 : 52
3017 : 885
1025 : 2
4418 : 5
4421 : 1
1019 : 1
1026 : 4
4414 : 1
--------------------2019-09-04 0:42:49----------------
4004 : 2
4017 : 2
1018 : 2
81 : 20
205 : 48
1010 : 34
4633 : 8
4629 : 18
1006 : 41
1003 : 361
3010 : 4
1000 : 1
1115 : 7
3030 : 59
1031 : 14
1046 : 6
4464 : 1
1060 : 1
1032 : 4
3025 : 62
3019 : 576
3024 : 63
3018 : 190
3013 : 1263
3011 : 616
1011 : 72
3014 : 986
1001 : 49
3017 : 1043
4539 : 2
4631 : 2
4525 : 1
--------------------2019-09-04 0:47:49----------------
81 : 18
205 : 53
1010 : 37
4633 : 9
4629 : 18
1006 : 93
1003 : 244
3010 : 5
1000 : 1
1115 : 1
1031 : 12
4464 : 6
82 : 3
3202 : 1
3025 : 87
3019 : 568
3024 : 222
3018 : 282
3013 : 1773
3011 : 610
1011 : 68
3014 : 960
1001 : 67
3017 : 1047
4525 : 1
--------------------2019-09-04 0:52:50----------------
81 : 9
205 : 54
1010 : 8
4633 : 4
1006 : 50
1003 : 259
3010 : 19
1115 : 5
3030 : 1
4464 : 1
82 : 2
3025 : 99
3019 : 733
3024 : 128
3018 : 300
3013 : 1307
3011 : 571
1011 : 28
3014 : 1123
1001 : 65
3017 : 1085
4539 : 1
4631 : 1
4525 : 1
--------------------2019-09-04 0:57:50----------------
4004 : 1
4017 : 1
1018 : 1
81 : 6
205 : 47
1010 : 27
4633 : 5
4629 : 14
1006 : 53
1003 : 258
3010 : 4
1115 : 3
3030 : 3
1046 : 3
1048 : 1
3025 : 84
3019 : 749
3024 : 139
3018 : 320
3013 : 1480
3011 : 245
1011 : 48
3014 : 909
1001 : 88
3017 : 1020
--------------------2019-09-04 1:02:50----------------
4017 : 1
1018 : 1
81 : 20
205 : 48
1010 : 18
4633 : 5
4629 : 15
1006 : 57
1003 : 188
3010 : 28
1000 : 3
1115 : 1
3030 : 7
1031 : 4
1009 : 2
4464 : 9
1032 : 16
82 : 2
3202 : 2
3025 : 77
3019 : 825
3024 : 139
3018 : 326
1004 : 1
3013 : 1541
3011 : 233
1011 : 41
3014 : 798
1001 : 576
3017 : 939
--------------------2019-09-04 1:07:50----------------
4017 : 1
1018 : 1
81 : 18
205 : 43
1010 : 26
4633 : 5
4629 : 6
1006 : 80
1003 : 123
3010 : 16
1000 : 14
1115 : 4
3030 : 12
1031 : 4
1046 : 5
1048 : 2
4464 : 1
1032 : 7
4634 : 1
3025 : 84
3019 : 778
3024 : 129
3018 : 272
3013 : 1430
3011 : 208
1011 : 66
3014 : 585
1001 : 88
3017 : 834
4418 : 1
--------------------2019-09-04 1:12:50----------------
4004 : 1
4017 : 1
1018 : 1
81 : 10
205 : 52
1010 : 16
4633 : 3
4629 : 12
1006 : 67
1003 : 288
3010 : 3
1000 : 6
1115 : 1
3030 : 6
1031 : 2
4464 : 2
1032 : 2
3025 : 89
3019 : 1147
3024 : 131
3018 : 332
4416 : 1
3013 : 1113
3011 : 205
1011 : 30
3014 : 1119
1001 : 65
3017 : 1086
4418 : 6
4419 : 1
4421 : 6
4460 : 2
4468 : 1
--------------------2019-09-04 1:17:50----------------
81 : 6
205 : 31
1010 : 16
4633 : 4
4629 : 21
1006 : 76
1003 : 68
3010 : 3
1000 : 1
1115 : 3
3030 : 4
1031 : 6
1014 : 1
4464 : 3
1032 : 4
1015 : 1
82 : 2
3202 : 2
3025 : 50
3019 : 704
3024 : 156
3018 : 227
3013 : 858
3011 : 190
1011 : 29
3014 : 609
1001 : 48
3017 : 549
--------------------2019-09-04 1:22:50----------------
1024 : 1
1023 : 1
81 : 6
205 : 22
1010 : 29
4633 : 10
4629 : 48
1006 : 81
1003 : 27
3010 : 32
1000 : 4
3030 : 12
1031 : 1
3025 : 32
3019 : 400
3024 : 34
3018 : 152
1004 : 1
3002 : 2
