--------------------2019-09-01 0:01:57----------------
1030 : 3
4004 : 1
4017 : 2
1018 : 2
81 : 6
205 : 18
1010 : 23
4633 : 7
4629 : 19
1006 : 37
1003 : 28
3010 : 9
1000 : 1
1115 : 2
3030 : 6
4464 : 1
82 : 1
3202 : 1
3025 : 51
3019 : 369
3024 : 95
3018 : 165
4031 : 1
3002 : 11
3013 : 722
3011 : 133
1011 : 54
3014 : 7
1001 : 36
3017 : 319
1025 : 2
1026 : 7
--------------------2019-09-01 0:06:57----------------
4004 : 1
4017 : 1
1018 : 1
81 : 6
205 : 22
1010 : 25
4633 : 6
4629 : 4
1006 : 51
1003 : 5
3010 : 3
3030 : 2
1031 : 6
1048 : 2
1009 : 1
4464 : 3
1032 : 5
3025 : 48
3019 : 391
3024 : 141
3018 : 187
3002 : 1
3013 : 1070
3011 : 72
1011 : 64
3014 : 10
1001 : 23
3017 : 301
4418 : 7
4419 : 1
4421 : 4
--------------------2019-09-01 0:11:58----------------
4004 : 3
4017 : 4
1018 : 4
81 : 6
205 : 29
1010 : 52
4633 : 11
4629 : 8
1006 : 78
1003 : 24
3010 : 12
1115 : 3
1031 : 3
1009 : 1
4464 : 2
1060 : 1
1032 : 7
82 : 1
3202 : 1
3025 : 55
3019 : 614
3024 : 125
3018 : 250
1004 : 1
4012 : 1
3002 : 10
3013 : 986
3011 : 126
1011 : 88
3014 : 15
1001 : 35
3017 : 305
3016 : 1
4539 : 1
4631 : 1
4534 : 1
--------------------2019-09-01 0:16:58----------------
4430 : 1
4017 : 1
1018 : 1
81 : 3
205 : 23
1010 : 31
4633 : 7
4629 : 6
1006 : 28
1003 : 30
3010 : 15
1000 : 1
1115 : 2
3030 : 7
1031 : 4
1009 : 1
1060 : 2
1032 : 1
4634 : 9
82 : 1
3025 : 55
3019 : 486
3024 : 153
3018 : 226
1004 : 1
3002 : 8
3013 : 1009
3011 : 131
1011 : 72
3014 : 172
1001 : 23
3017 : 276
3016 : 1
3015 : 1
4610 : 1
--------------------2019-09-01 0:21:58----------------
4017 : 3
1018 : 3
81 : 6
205 : 21
1010 : 25
4633 : 10
4629 : 15
1006 : 72
1003 : 58
3010 : 8
1000 : 5
1115 : 1
3030 : 11
1031 : 7
1009 : 3
82 : 1
3202 : 1
3025 : 37
3019 : 392
3024 : 154
3018 : 186
4012 : 1
3002 : 10
3013 : 781
3011 : 108
1011 : 38
3014 : 227
1001 : 40
3017 : 332
--------------------2019-09-01 0:26:58----------------
81 : 2
205 : 27
1010 : 20
4633 : 9
4629 : 3
1006 : 114
1003 : 71
3010 : 21
1000 : 29
1115 : 1
3030 : 22
4464 : 2
1060 : 2
3025 : 38
3019 : 328
3024 : 196
3018 : 185
4416 : 1
3002 : 10
3013 : 914
3011 : 142
1011 : 40
3014 : 359
1001 : 78
3017 : 497
--------------------2019-09-01 0:31:58----------------
4017 : 1
1018 : 1
81 : 9
205 : 25
1010 : 28
4633 : 8
4629 : 4
1006 : 60
1003 : 52
3010 : 12
1000 : 8
1115 : 3
3030 : 22
1046 : 3
1014 : 47
1048 : 1
1009 : 1
1060 : 5
3025 : 47
3019 : 325
3024 : 82
3018 : 168
4520 : 1
3002 : 12
3013 : 903
3011 : 135
1011 : 50
3014 : 389
1001 : 44
3017 : 432
1012 : 12
1013 : 8
4531 : 2
4522 : 1
--------------------2019-09-01 0:36:58----------------
81 : 6
205 : 29
1010 : 24
4633 : 5
4629 : 7
1006 : 84
1003 : 88
3010 : 19
1000 : 8
1115 : 3
3030 : 9
1046 : 3
1014 : 16
1048 : 1
4464 : 3
1015 : 3
3025 : 58
3019 : 453
3024 : 101
3018 : 200
1002 : 1
4520 : 2
3002 : 12
3013 : 1269
3011 : 181
1011 : 42
3014 : 244
1001 : 20
3017 : 474
1012 : 1
1013 : 1
4531 : 1
4522 : 1
--------------------2019-09-01 0:41:58----------------
4004 : 1
4017 : 2
1018 : 2
81 : 6
205 : 33
1010 : 3
4633 : 1
4629 : 4
1006 : 73
1003 : 64
3010 : 14
1000 : 4
1115 : 3
3030 : 2
1009 : 2
4464 : 1
3025 : 69
3019 : 482
3024 : 162
3018 : 228
3002 : 5
3013 : 1203
3011 : 195
1011 : 5
3014 : 357
1001 : 27
3017 : 610
--------------------2019-09-01 0:46:58----------------
4004 : 1
4017 : 2
1018 : 2
81 : 11
205 : 26
1010 : 47
4633 : 5
4629 : 5
1006 : 36
1003 : 48
3010 : 12
1000 : 3
1115 : 1
3030 : 3
1048 : 5
1009 : 1
4464 : 1
3025 : 69
3019 : 505
3024 : 73
3018 : 210
3002 : 9
3013 : 953
3011 : 145
1011 : 49
3014 : 331
1001 : 33
3017 : 413
--------------------2019-09-01 0:51:58----------------
