--------------------2019-07-29 0:03:38----------------
4004 : 2
4017 : 1
1018 : 1
81 : 2
3017 : 178
205 : 7
1010 : 13
1011 : 13
3013 : 407
1001 : 29
3030 : 1
1050 : 2
1115 : 2
1006 : 5
1100 : 10
1102 : 10
1003 : 16
3011 : 94
82 : 1
3202 : 1
3014 : 169
3010 : 5
1000 : 8
1046 : 2
1048 : 3
4633 : 3
4464 : 1
1105 : 1
1031 : 3
1014 : 1
1015 : 1
4039 : 1
1032 : 8
4539 : 1
4631 : 1
4525 : 4
4534 : 1
4535 : 1
4529 : 1
4526 : 1
--------------------2019-07-29 0:08:38----------------
4017 : 1
1018 : 1
81 : 2
3017 : 57
205 : 6
1010 : 9
1011 : 7
3013 : 265
1001 : 90
3030 : 2
1009 : 1
1006 : 7
1100 : 8
1102 : 1
1106 : 7
3011 : 26
3014 : 250
3010 : 5
4633 : 3
4629 : 10
1014 : 7
1015 : 2
--------------------2019-07-29 0:13:39----------------
81 : 1
3017 : 109
205 : 2
1010 : 2
1011 : 3
3013 : 71
1001 : 147
1050 : 1
1006 : 14
1100 : 4
3011 : 11
4629 : 10
4464 : 1
1014 : 4
1015 : 1
1109 : 2
--------------------2019-07-29 0:18:39----------------
4004 : 1
4017 : 1
1018 : 1
81 : 2
3017 : 120
205 : 4
1010 : 8
1011 : 14
3013 : 201
1001 : 28
3030 : 17
3011 : 30
82 : 1
3202 : 1
3010 : 1
1000 : 16
1046 : 6
1048 : 10
4633 : 2
4464 : 1
--------------------2019-07-29 0:23:39----------------
4004 : 2
4017 : 2
1018 : 2
81 : 5
3017 : 116
205 : 4
1010 : 11
1011 : 24
3013 : 223
1001 : 83
3030 : 3
1009 : 1
1050 : 2
1115 : 46
1006 : 19
3011 : 42
3014 : 11
3010 : 1
1000 : 23
1046 : 5
1048 : 22
4633 : 2
1051 : 1
1007 : 97
1031 : 5
4039 : 1
1032 : 10
3018 : 2
--------------------2019-07-29 0:28:39----------------
4004 : 2
4017 : 2
1018 : 2
81 : 3
3017 : 123
205 : 2
1010 : 4
1011 : 6
3013 : 103
1001 : 18
3030 : 1
1009 : 1
1050 : 1
1100 : 2
1102 : 2
1106 : 2
3011 : 11
3014 : 4
1000 : 1
4633 : 3
1051 : 1
1105 : 9
1031 : 4
4039 : 1
3024 : 1
--------------------2019-07-29 0:33:39----------------
3017 : 154
205 : 4
3013 : 136
1001 : 22
1050 : 1
1006 : 1
3011 : 26
3010 : 13
4633 : 1
4464 : 1
1105 : 1
--------------------2019-07-29 0:38:39----------------
3017 : 120
205 : 2
3013 : 44
1001 : 70
3011 : 6
--------------------2019-07-29 0:43:39----------------
3017 : 119
205 : 1
3013 : 38
1001 : 34
3011 : 3
--------------------2019-07-29 0:48:39----------------
3017 : 117
205 : 2
3013 : 49
1001 : 32
3011 : 6
--------------------2019-07-29 0:53:39----------------
3017 : 116
205 : 2
3013 : 64
1001 : 1
3011 : 10
--------------------2019-07-29 0:58:39----------------
3017 : 122
205 : 2
3013 : 59
1001 : 28
3011 : 5
--------------------2019-07-29 1:03:39----------------
3017 : 121
205 : 2
3013 : 58
1001 : 82
3011 : 3
4464 : 1
--------------------2019-07-29 1:08:39----------------
3017 : 117
205 : 2
3013 : 60
1001 : 54
3011 : 6
--------------------2019-07-29 1:13:39----------------
3017 : 110
205 : 2
3013 : 82
1001 : 80
3011 : 8
--------------------2019-07-29 1:18:39----------------
4017 : 2
1018 : 2
81 : 2
3017 : 44
205 : 1
1010 : 11
1011 : 6
3013 : 110
1001 : 17
3030 : 2
1009 : 2
1050 : 1
1006 : 5
3011 : 14
1000 : 11
1048 : 2
4633 : 1
4629 : 1
--------------------2019-07-29 1:23:40----------------
--------------------2019-07-29 1:28:40----------------
--------------------2019-07-29 1:33:40----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3017 : 3
205 : 1
1010 : 14
1011 : 45
3013 : 45
1050 : 1
1115 : 2
3011 : 5
4633 : 1
1104 : 1
1032 : 5
--------------------2019-07-29 1:38:40----------------
3017 : 6
1010 : 32
1011 : 115
3013 : 29
1115 : 3
--------------------2019-07-29 1:43:40----------------
3017 : 9
1010 : 28
1011 : 107
3013 : 28
3011 : 1
3010 : 1
--------------------2019-07-29 1:48:40----------------
3017 : 10
205 : 1
1010 : 27
1011 : 106
3013 : 33
1115 : 1
3011 : 2
3010 : 1
--------------------2019-07-29 1:53:40----------------
81 : 1
3017 : 5
1010 : 15
1011 : 51
3013 : 33
3011 : 7
4633 : 1
--------------------2019-07-29 1:58:40----------------
--------------------2019-07-29 2:03:40----------------
--------------------2019-07-29 2:08:40----------------
--------------------2019-07-29 2:13:40----------------
--------------------2019-07-29 2:18:40----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3017 : 28
205 : 1
1010 : 6
1011 : 8
3013 : 26
3011 : 2
3010 : 2
--------------------2019-07-29 2:23:40----------------
4017 : 1
1018 : 1
81 : 1
3017 : 76
205 : 1
1010 : 2
1011 : 4
3013 : 76
1001 : 2
1009 : 1
1050 : 1
3011 : 3
3010 : 5
1000 : 1
--------------------2019-07-29 2:28:40----------------
3017 : 44
205 : 2
1010 : 6
1011 : 9
3013 : 118
1001 : 24
1050 : 1
1006 : 40
3011 : 18
1046 : 1
1048 : 20
--------------------2019-07-29 2:33:40----------------
3017 : 52
205 : 2
3013 : 107
1001 : 33
3030 : 1
1006 : 5
3011 : 45
--------------------2019-07-29 2:38:41----------------
3017 : 55
205 : 2
3013 : 100
1001 : 34
3011 : 21
--------------------2019-07-29 2:43:41----------------
3017 : 8
3013 : 15
3011 : 2
3014 : 5
4633 : 1
--------------------2019-07-29 2:48:41----------------
--------------------2019-07-29 2:53:41----------------
4004 : 2
4017 : 3
1018 : 3
81 : 3
3017 : 11
205 : 2
1010 : 7
1011 : 7
3013 : 56
1009 : 1
1006 : 4
1003 : 2
3011 : 31
4012 : 1
3014 : 83
3010 : 10
1110 : 2
4633 : 2
4629 : 1
--------------------2019-07-29 2:58:41----------------
3017 : 10
205 : 1
1010 : 20
1011 : 11
3013 : 203
1050 : 2
1006 : 1
3011 : 12
3014 : 6
3010 : 2
4633 : 3
1104 : 1
4629 : 2
--------------------2019-07-29 3:03:41----------------
4004 : 2
4017 : 2
1018 : 2
81 : 2
3017 : 19
205 : 3
1010 : 22
1011 : 20
3013 : 253
3030 : 5
1050 : 1
1006 : 4
3011 : 15
82 : 1
3202 : 1
3010 : 4
1046 : 4
1048 : 6
4633 : 3
4629 : 4
1032 : 1
--------------------2019-07-29 3:08:41----------------
3017 : 129
205 : 2
1010 : 3
1011 : 3
3013 : 45
1001 : 10
3030 : 32
1050 : 5
3011 : 12
82 : 1
3202 : 1
3010 : 4
1000 : 6
1051 : 1
1105 : 2
1031 : 23
--------------------2019-07-29 3:13:41----------------
3017 : 130
205 : 3
1010 : 8
1011 : 10
3013 : 200
1001 : 27
3030 : 12
1050 : 3
1006 : 12
3011 : 58
3014 : 11
3010 : 16
1046 : 2
1048 : 1
4633 : 6
1051 : 1
1105 : 8
--------------------2019-07-29 3:18:41----------------
4004 : 1
4017 : 1
1018 : 1
81 : 2
3017 : 137
205 : 9
1010 : 7
1011 : 10
3013 : 444
1001 : 10
3030 : 7
1009 : 1
1050 : 2
3011 : 74
3010 : 16
1046 : 1
4633 : 2
4629 : 2
1105 : 3
--------------------2019-07-29 3:23:41----------------
3017 : 148
205 : 4
1010 : 4
1011 : 7
3013 : 255
1001 : 1
1050 : 2
3011 : 64
3010 : 21
4633 : 1
4464 : 1
1105 : 7
--------------------2019-07-29 3:28:41----------------
3017 : 151
205 : 3
1010 : 7
1011 : 10
3013 : 100
1050 : 1
1006 : 6
3011 : 12
3010 : 9
1046 : 5
4633 : 2
1104 : 9
1051 : 3
1105 : 3
1257 : 1
1256 : 1
--------------------2019-07-29 3:33:41----------------
4017 : 1
1018 : 1
81 : 1
3017 : 94
205 : 3
1010 : 11
1011 : 11
3013 : 187
1001 : 7
3030 : 3
1009 : 1
1050 : 2
1006 : 1
3011 : 28
3010 : 7
4633 : 3
1104 : 1
4464 : 1
1105 : 3
4446 : 1
1256 : 1
--------------------2019-07-29 3:38:41----------------
4017 : 1
1018 : 1
81 : 1
3017 : 102
205 : 3
1010 : 9
1011 : 13
3013 : 151
1001 : 3
3030 : 7
1009 : 1
1050 : 2
1006 : 3
1100 : 1
1102 : 1
1003 : 3
3011 : 57
3010 : 25
4633 : 3
1104 : 7
1051 : 1
4629 : 1
1105 : 4
1014 : 9
1015 : 3
1108 : 2
--------------------2019-07-29 3:43:41----------------
3017 : 175
205 : 4
3013 : 128
1001 : 1
3030 : 7
1100 : 3
1003 : 4
3011 : 81
3014 : 28
3010 : 19
1105 : 5
1108 : 4
545 : 1
4416 : 1
1019 : 1
--------------------2019-07-29 3:48:41----------------
4017 : 1
1018 : 1
81 : 1
3017 : 141
205 : 4
3013 : 137
1001 : 6
3030 : 6
1009 : 1
1050 : 1
3011 : 42
3010 : 19
4464 : 1
1105 : 4
1108 : 5
4416 : 5
1019 : 1
4415 : 2
4414 : 3
1020 : 4
--------------------2019-07-29 3:53:42----------------
3017 : 123
205 : 4
3013 : 148
1001 : 9
3030 : 8
3011 : 84
3010 : 52
4629 : 1
1105 : 5
1108 : 3
4416 : 3
4415 : 1
4414 : 2
1020 : 2
--------------------2019-07-29 3:58:42----------------
3017 : 162
205 : 4
3013 : 142
1001 : 8
3030 : 5
1115 : 1
1006 : 2
3011 : 70
3010 : 22
1048 : 1
4629 : 1
1105 : 3
1108 : 3
1020 : 1
4413 : 1
--------------------2019-07-29 4:03:42----------------
4017 : 1
1018 : 1
81 : 1
3017 : 108
205 : 3
3013 : 117
1001 : 4
3030 : 7
1009 : 1
1050 : 1
1003 : 1
3011 : 51
3010 : 30
4633 : 1
1105 : 5
1108 : 5
--------------------2019-07-29 4:08:42----------------
3017 : 102
205 : 3
1010 : 1
1011 : 1
3013 : 104
1001 : 7
3030 : 4
3011 : 29
3010 : 10
1105 : 6
1108 : 5
1060 : 20
--------------------2019-07-29 4:13:42----------------
3017 : 101
205 : 2
3013 : 77
3030 : 3
1006 : 2
3011 : 15
1105 : 4
1108 : 6
--------------------2019-07-29 4:18:42----------------
4017 : 1
1018 : 1
81 : 1
3017 : 95
205 : 1
3013 : 60
1001 : 5
1009 : 1
1050 : 1
3011 : 16
3010 : 2
1105 : 3
1108 : 6
--------------------2019-07-29 4:23:42----------------
3017 : 100
205 : 2
3013 : 42
1001 : 4
3030 : 2
3011 : 21
3010 : 1
1105 : 6
1108 : 4
--------------------2019-07-29 4:28:42----------------
4004 : 1
4017 : 2
1018 : 2
81 : 2
3017 : 90
205 : 2
1010 : 6
1011 : 6
3013 : 48
1001 : 16
3030 : 1
1009 : 1
1050 : 2
1006 : 1
3011 : 23
3010 : 6
1105 : 6
1108 : 4
--------------------2019-07-29 4:33:42----------------
3017 : 87
205 : 3
1010 : 3
3013 : 97
1001 : 15
1006 : 3
1100 : 12
3011 : 46
3010 : 8
1105 : 2
1101 : 1
1108 : 3
--------------------2019-07-29 4:38:42----------------
4017 : 2
1018 : 2
81 : 2
3017 : 79
205 : 2
3013 : 102
1001 : 1
3030 : 7
1009 : 2
1050 : 4
3011 : 34
3010 : 6
1051 : 1
1105 : 4
1108 : 3
--------------------2019-07-29 4:43:42----------------
4004 : 2
4017 : 1
1018 : 1
81 : 1
3017 : 115
205 : 1
1010 : 2
1011 : 4
3013 : 16
3030 : 1
1009 : 1
1006 : 6
3011 : 3
3010 : 6
1046 : 1
1048 : 20
1105 : 3
1108 : 5
4041 : 1
--------------------2019-07-29 4:48:42----------------
3017 : 161
205 : 2
1010 : 13
1011 : 16
3013 : 73
1001 : 19
3030 : 1
1006 : 14
3011 : 25
3010 : 1
1051 : 1
1108 : 6
--------------------2019-07-29 4:53:42----------------
81 : 1
3017 : 145
205 : 3
1010 : 5
1011 : 10
3013 : 132
1001 : 42
3030 : 1
1050 : 25
3011 : 38
3010 : 3
4633 : 2
1051 : 1
1105 : 2
1101 : 6
1032 : 27
--------------------2019-07-29 4:58:42----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3017 : 95
205 : 3
1010 : 1
1011 : 1
3013 : 42
1001 : 75
1009 : 1
1050 : 1
1100 : 8
1102 : 7
1106 : 3
1003 : 5
3011 : 15
3010 : 1
1000 : 35
1104 : 1
1051 : 1
1101 : 1
1031 : 30
4039 : 1
1032 : 1
--------------------2019-07-29 5:03:42----------------
4004 : 2
4017 : 2
1018 : 2
81 : 2
3017 : 3
205 : 1
1010 : 18
1011 : 26
3013 : 39
1001 : 9
1009 : 2
1050 : 1
1115 : 4
1006 : 1
3011 : 13
1000 : 8
4633 : 2
1104 : 1
1101 : 4
1031 : 4
4039 : 2
1032 : 4
--------------------2019-07-29 5:08:43----------------
4004 : 1
4017 : 1
1018 : 1
81 : 1
3017 : 4
1010 : 22
1011 : 10
3013 : 49
