--------------------2019-08-02 0:00:32----------------
4004 : 2
4017 : 2
1018 : 2
81 : 6
1010 : 24
1011 : 17
4012 : 1
3013 : 608
205 : 23
3014 : 463
1006 : 32
3010 : 16
3011 : 200
1003 : 143
3030 : 7
1000 : 15
1001 : 115
3017 : 734
1110 : 1
1050 : 1
4633 : 1
1100 : 11
1104 : 37
1102 : 6
4464 : 2
1115 : 14
1105 : 14
1101 : 3
3018 : 37
3019 : 87
3024 : 49
3025 : 18
--------------------2019-08-02 0:05:32----------------
4004 : 1
4017 : 3
1018 : 3
81 : 8
1010 : 21
1011 : 39
3013 : 763
205 : 23
3014 : 576
1006 : 57
3010 : 23
3011 : 209
1003 : 92
1009 : 2
3030 : 14
1000 : 8
1001 : 85
3017 : 513
1050 : 4
4633 : 8
1100 : 6
1104 : 22
1102 : 7
1051 : 1
4629 : 12
1115 : 8
1105 : 9
1101 : 2
1031 : 1
1032 : 2
4634 : 2
3018 : 68
1012 : 1
1013 : 1
3019 : 281
3024 : 33
3025 : 20
--------------------2019-08-02 0:10:32----------------
4017 : 2
1018 : 2
81 : 7
1010 : 49
1011 : 73
3013 : 857
205 : 24
3014 : 403
1006 : 69
3010 : 27
3011 : 227
1003 : 86
3030 : 11
1000 : 6
1001 : 41
3017 : 558
1050 : 3
4633 : 8
1100 : 4
1104 : 11
1102 : 3
1004 : 1
1051 : 1
4629 : 13
4464 : 1
1115 : 1
1105 : 35
1101 : 1
1014 : 9
4031 : 2
1032 : 3
4418 : 2
3018 : 19
3019 : 89
3024 : 1
3025 : 4
--------------------2019-08-02 0:15:32----------------
4004 : 1
4017 : 1
1018 : 1
81 : 6
1010 : 80
1011 : 71
3013 : 1083
205 : 23
3014 : 378
1006 : 102
3010 : 30
3011 : 205
1003 : 76
3030 : 8
1000 : 11
1001 : 58
3017 : 515
1046 : 6
1050 : 5
4633 : 11
1100 : 29
1104 : 21
82 : 2
3202 : 2
1051 : 1
4629 : 8
1115 : 1
1105 : 16
1101 : 6
1031 : 4
1014 : 38
1015 : 3
1106 : 8
1032 : 2
4418 : 2
3018 : 20
3019 : 63
3024 : 44
--------------------2019-08-02 0:20:32----------------
81 : 4
1010 : 40
1011 : 73
3013 : 716
205 : 23
3014 : 382
1006 : 77
3010 : 27
3011 : 229
1003 : 90
3030 : 1
1000 : 16
1001 : 20
3017 : 728
4633 : 5
1100 : 10
1104 : 50
1102 : 2
4629 : 1
1105 : 12
1101 : 1
1014 : 16
1015 : 1
4634 : 5
3018 : 34
3019 : 82
3024 : 61
3025 : 10
1034 : 9
1099 : 8
--------------------2019-08-02 0:25:32----------------
4017 : 2
1018 : 2
81 : 9
1010 : 36
1011 : 50
3013 : 1068
205 : 25
3014 : 376
1006 : 80
3010 : 13
