1	36.113.33.248	pt4dc308287fee047c81	易妙思	4116	2019-09-04 08:32:05	2019-09-04 09:40:41	1	0
1	36.113.33.248	pt4c9d289634b5875303	贺兰依珊	4118	2019-09-04 08:32:03	2019-09-04 09:40:42	1	0
1	36.113.33.248	ptd3934acf860ec9a576	养馨荣	4119	2019-09-04 08:32:03	2019-09-04 09:40:42	1	0
1	36.113.33.248	pt41f4833a70de2b7cdb	颜箫吟	4120	2019-09-04 08:32:01	2019-09-04 09:40:42	1	0
1	36.113.33.248	pt3c1451ac1854959b84	昌成荫	4122	2019-09-04 08:31:59	2019-09-04 09:40:42	1	0
1	36.113.33.248	pt0cf0929a9d43e157dc	国绍祺	4121	2019-09-04 08:32:01	2019-09-04 09:40:42	1	0
1	36.113.33.248	pt26ce8ea33fe92932ef	韦玉泽	4122	2019-09-04 08:32:00	2019-09-04 09:40:42	1	0
1	36.113.33.248	pt1d831a4be6aad77eaa	印玉龙	3709	2019-09-04 08:39:11	2019-09-04 09:41:00	1	0
1	106.34.48.54	pt4f5f555dbbb281d1f3	虾米	944	2019-09-04 09:32:06	2019-09-04 09:47:50	1	0
1	180.113.188.11	pt9ddd4735afe99e4cf0	浪里小白龙	600	2019-09-04 09:39:56	2019-09-04 09:49:57	1	0
