;比奇大地图
比奇省,343,245,比奇城,$33FFFF,0
比奇省,154,21,兽人古墓,$7BBDCE,0
比奇省,332,60,沃玛森林,$7BBDCE,0
比奇省,620,80,毒蛇山谷,$7BBDCE,0
比奇省,294,630,边界村,$33FFFF,0
比奇省,620,626,银杏山谷,$33FFFF,0
比奇省,120,108,洞穴,$7BBDCE,0
比奇省,600,192,比奇矿区,$7BBDCE,0
比奇省,600,242,$7BBDCE,0

;比奇小地图
比奇省,341,297,武器店,$7BBDCE,1
比奇省,311,301,服装店,$7BBDCE,1
比奇省,301,275,首饰店,$7BBDCE,1
比奇省,392,220,武馆,$7BBDCE,1
比奇省,378,299,杂货铺,$7BBDCE,1
比奇省,327,283,药店,$7BBDCE,1
比奇省,298,244,仓库,$7BBDCE,1
比奇省,324,242,书店,$7BBDCE,1
比奇省,351,181,皇宫,$7BBDCE,1
比奇省,415,237,竞技场,$7BBDCE,1
比奇省,314,272,肉店,$7BBDCE,1
比奇省,313,252,英雄之门,$7BBDCE,1

;比奇省银杏山谷
比奇省,648,591,肉店,$7BBDCE,1
比奇省,642,601,服装店,$7BBDCE,1
比奇省,649,602,武器店,$7BBDCE,1
比奇省,642,611,杂货铺,$7BBDCE,1
比奇省,649,617,药店,$7BBDCE,1
比奇省,619,642,仓库,$7BBDCE,1
;比奇省边界村
比奇省,290,610,药店,$7BBDCE,1
比奇省,292,603,肉店,$7BBDCE,1	
比奇省,295,613,武器店,$7BBDCE,1	
比奇省,303,608,服装店,$7BBDCE,1
比奇省,302,623,首饰店,$7BBDCE,1	
比奇省,274,640,书店,$7BBDCE,1
比奇省,292,644,边界旅馆,$7BBDCE,1

;沃玛森林
沃玛森林,39,39,白日门,$33FFFF,0
沃玛森林,42,159,封魔谷,$33FFFF,0
沃玛森林,39,39,白日门,$33FFFF,0
沃玛森林,129,267,沃玛寺庙,$33FFFF,0
沃玛森林,522,546,比奇省,$33FFFF,0
沃玛森林,300,54,沃玛废村,$33FFFF,0

;沃玛废村
沃玛森林,312,72,武器修理,$7BBDCE,1
沃玛森林,308,81,药店,$7BBDCE,1	

;盟重大地图

盟重省,861,176,祖玛寺庙,$7BBDCE,0
盟重省,850,212,,$7BBDCE,0
盟重省,205,744,毒蛇山谷通道,$7BBDCE,0
盟重省,600,740,毒蛇山谷通道,$7BBDCE,0
盟重省,836,650,红名村,$33FFFF,0
盟重省,640,296,沙巴克,$33FFFF,0
盟重省,305,316,土城,$33FFFF,0
盟重省,255,86,死亡山谷,$7BBDCE,0

;盟重小地图
盟重省,306,325,石墓,$8CEFF7,1
盟重省,334,310,武器店,$7BBDCE,1
盟重省,320,291,服装店,$7BBDCE,1
盟重省,290,290,首饰店,$7BBDCE,1
盟重省,307,362,仓库,$7BBDCE,1
盟重省,270,347,药店,$7BBDCE,1
盟重省,408,324,书店,$7BBDCE,1
盟重省,363,333,药店,$7BBDCE,1
盟重省,384,297,酒馆,$7BBDCE,1
盟重省,319,347,英雄之门,$7BBDCE,1

;毒蛇山谷大地图
毒蛇山谷,255,39,盟重通道,$7BBDCE,0
毒蛇山谷,507,57,盟重通道,$7BBDCE,0
毒蛇山谷,522,171,山谷矿区,$7BBDCE,0
毒蛇山谷,522,211,,$7BBDCE,0
毒蛇山谷,501,474,山谷村落,$7BBDCE,0
毒蛇山谷,417,558,比奇通道,$7BBDCE,0
毒蛇山谷,450,300,行会战入口,$7BBDCE,0

;毒蛇山谷小地图
毒蛇山谷,503,479,杂货铺,$8CEFF7,1
毒蛇山谷,518,477,服装店,$8CEFF7,1
毒蛇山谷,516,466,仓库,$8CEFF7,1
毒蛇山谷,519,492,铁匠铺,$8CEFF7,1
毒蛇山谷,506,497,药店,$8CEFF7,1
毒蛇山谷,450,300,行会战入口,$8CEFF7,1


;白日门大地图
白日门,52,480,沃玛森林,$7BBDCE,0
白日门,350,238,丛林迷宫,$7BBDCE,0
白日门,180,312,白日门,$33FFFF,0


;白日门小地图
白日门,142,319,首饰店,$7BBDCE,1
白日门,180,354,杂货店,$7BBDCE,1
白日门,214,313,服装店,$7BBDCE,1
白日门,230,292,武器店,$7BBDCE,1
白日门,175,289,药店,$7BBDCE,1
白日门,206,265,书店,$7BBDCE,1
白日门,230,258,虎卫堂,$7BBDCE,1
白日门,190,288,仓库,$7BBDCE,1
白日门,176,315,屠夫,$7BBDCE,1
白日门,176,328,英雄之门,$7BBDCE,1

;封魔谷大地图
封魔谷,118,67,封魔矿区,$33FFFF,0
封魔谷,445,189,沃玛森林,$33FFFF,0
封魔谷,230,205,封魔城,$33FFFF,0

;封魔谷小地图
封魔谷,213,234,武器店,$7BBDCE,1
封魔谷,216,183,封魔堡,$7BBDCE,1
封魔谷,227,243,药店,$7BBDCE,1
封魔谷,240,230,首饰店,$7BBDCE,1
封魔谷,258,205,服装店,$7BBDCE,1
封魔谷,244,183,肉店,$7BBDCE,1
封魔谷,234,166,仓库,$7BBDCE,1
封魔谷,240,191,英雄之门,$7BBDCE,1


;丛林迷宫大地图
丛林迷宫,280,126,赤月峡谷东入口,$7BBDCE,0
丛林迷宫,93,17,赤月峡谷北入口,$7BBDCE,0
丛林迷宫,24,298,赤月峡谷南入口,$7BBDCE,0

